Metrica,Fold1,Fold2,Fold3,Fold4,Fold5
precision_classe0,0.8299110574283518,0.8375847594446238,0.8364667927466904,0.8426806603257899,0.8315181877586583
recall_classe0,0.8255598033861278,0.8500273074822501,0.8213895564780423,0.8420362682980118,0.8340616124098754
f1-score_classe0,0.8277297119702114,0.8437601648053779,0.8288596152786197,0.8423583410742582,0.8327879581151831
support_classe0,9155,9155,9154,9154,9154
precision_classe1,0.6824675324675324,0.6610169491525424,0.6684210526315789,0.6847195357833655,0.6969914040114613
recall_classe1,0.7213452299245025,0.7227179135209334,0.6968449931412894,0.728894989704873,0.6678105696636926
f1-score_classe1,0.701368034701368,0.6904918032786885,0.6823371390194762,0.7061170212765956,0.6820890290921837
support_classe1,1457,1457,1458,1457,1457
precision_classe2,0.808,0.8649076517150396,0.81552,0.8393063583815029,0.8193620772559705
recall_classe2,0.8246244284781189,0.8029065969954279,0.8322991508817766,0.8298497713912476,0.8347485303723057
f1-score_classe2,0.8162275739453693,0.8327546786349395,0.8238241474058511,0.8345512767879136,0.8269837418102403
support_classe2,6124,6124,6124,6124,6124
precision_classe3,0.8770491803278688,0.7685834502103787,0.8300970873786407,0.8404512489927478,0.8572642310960068
recall_classe3,0.7648927720413026,0.8705321683876092,0.8149324861000794,0.8284352660841938,0.8014297061159651
f1-score_classe3,0.8171404327535002,0.8163873370577281,0.8224448897795591,0.8344,0.828407224958949
support_classe3,1259,1259,1259,1259,1259
