Metrica,Fold1,Fold2,Fold3,Fold4,Fold5
precision_classe0,0.8790491726870193,0.8542389094822432,0.8045965165412758,0.8289958794187812,0.8727498448168839
recall_classe0,0.8240305843801201,0.7803386127799017,0.8528512125846625,0.8351540310246887,0.7679702862136771
f1-score_classe0,0.8506511811467553,0.8156182212581345,0.8280214244047304,0.8320635611667393,0.8170143529548491
support_classe0,9155,9155,9154,9154,9154
precision_classe1,0.6804556354916067,0.625421822272216,0.6650154798761609,0.685973482205164,0.6353071389042612
recall_classe1,0.7789979409746054,0.7632120796156486,0.7366255144032922,0.6746739876458476,0.787920384351407
f1-score_classe1,0.7264000000000002,0.6874806800618238,0.698991213797592,0.6802768166089965,0.7034313725490197
support_classe1,1457,1457,1458,1457,1457
precision_classe2,0.8258124133682427,0.7825692237857467,0.8404506632745775,0.8094170403587444,0.7708660293907833
recall_classe2,0.8755715218811234,0.8445460483344219,0.7552253429131287,0.82527759634226,0.8822664924885696
f1-score_classe2,0.8499643338353015,0.8123772873635435,0.7955620538401996,0.8172703751617075,0.822812761745222
support_classe2,6124,6124,6124,6124,6124
precision_classe3,0.8186900958466453,0.8257028112449799,0.8551959114139693,0.8767123287671232,0.8771148708815673
recall_classe3,0.8141382049245433,0.8165210484511517,0.7974583002382843,0.7625099285146942,0.7823669579030977
f1-score_classe3,0.8164078056551175,0.8210862619808306,0.8253185367858611,0.8156329651656755,0.8270361041141899
support_classe3,1259,1259,1259,1259,1259
